menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Crispy Fried Cheese,Cheesecake Factory,1080,5,295,31,1960,52,5,0,0,0,0,1234322,0.756781291
Dynamite Shrimp,Cheesecake Factory,500,3,155,7,750,19,1,0,0,0,0,1234322,0.691587562
Grilled Chicken Mini Tacos (MDR),Cheesecake Factory,650,10,120,7,1480,46,5,0,0,0,0,1234322,1.431566168
Crispy Fish Mini Tacos (MDR),Cheesecake Factory,530,9,25,4,920,15,5,0,0,0,0,1234322,1.060350285
Roadside Sliders - Serves 2-4,Cheesecake Factory,800,18,135,13,1720,48,1,0,0,0,0,1234322,0.954544372
Chicken Pot Stickers - Serves 2-4,Cheesecake Factory,420,14,100,3,2690,31,1,0,0,0,0,1234322,0.764985218
Tex Mex Eggrolls - Serves 2-4,Cheesecake Factory,930,12,120,14,2030,43,10,0,0,0,0,1234322,1.132180123
Quesadilla - Serves 2-4,Cheesecake Factory,1030,6,150,39,1880,44,7,0,0,0,0,1234322,0.723915102
Quesadilla (ABQ) - Serves 2-4,Cheesecake Factory,1040,5,150,39,1760,44,7,0,0,0,0,1234322,0.73659449
Quesadilla with Chicken - Serves 2-4,Cheesecake Factory,1150,6,215,39,1990,63,7,0,0,0,0,1234322,0.893092867
Quesadilla with Chicken (ABQ) - Serves 2-4,Cheesecake Factory,1150,5,215,39,1870,63,7,0,0,0,0,1234322,0.908607308
Quesadilla with Kalua Pork (HI) - Serves 2-4,Cheesecake Factory,1250,6,240,43,2260,68,7,0,0,0,0,1234322,0.860482409
