Name,id,Calories(kcal),Carbohydrate(g),Total Fat(g),Saturated Fat(g),Monounsaturated Fat(g),Cholesterol(mg),Total Sugar(g),Added Sugar(g),Sodium(mg),Protein(g),Fiber(g),Polyunsaturated Fat(g),Trans Fat(g),Vitamin A(µg),Vitamin C(mg),Vitamin D(µg),Vitamin E(mg),Vitamin B-12(µg),Thiamin(mg),Riboflavin(mg),Folate-DFE(µg),Calcium(mg),Iron(mg),Magnesium(mg),Zinc(mg),Potassium(mg),Folate-Food(µg),Folic Acid(µg),Niacin(mg),Phosphorus(mg),Vitamin B-6(mg),Vitamin K(µg),Water(g),Natural Serving,Serving Weight(g)
Blueberry Almond Pancakes,e54237,202.0325584379472,22.930990961420346,10.06127977610574,3.103869330506732,2.6880631234740453,42.54037812194876,8.362702531038137,4.599785679403826,157.37744194185856,6.507007262177536,2.883952490016019,1.5290563484207909,0.0786257837518199,42.72654574761415,1.8176422394487823,0.5134473156701852,1.2533990358412852,0.2213809359885676,0.0903701132796941,0.1629738583008448,23.32952158898956,112.66025463454687,1.0344619647639268,21.9056131859287,0.561115054431969,153.46662857705147,12.761862376133095,6.211524880839288,0.7872287118440224,169.99443742754875,0.0660504243180994,3.670367639000327,52.60770896750634,Measure_pancake,217.788731
Brunch-style Portobello Mushrooms,e15872,68.87739551659898,3.372456951636374,4.012889706274135,1.44685110197495,1.486128561916516,57.09219659367527,1.1921479894270317,0.0,232.1614581455872,5.778798625486231,1.5000706770751298,0.5970380432911668,0.0065841024039076,227.93505600192825,12.12802070411846,0.3895003403303836,1.046805656473493,0.2197865614111951,0.0765208857908378,0.2088756181568571,100.86575828424672,67.5535951405599,1.6173772754197178,38.112794339516284,0.8246850598935404,422.0870047230456,100.86575828424672,0.0,2.4262136542463355,120.75725648464844,0.176958806757446,209.00151414720577,85.05683086336087,Measure_serving,301.0534382773672
Cherry Pie-in-a-jar,e17770,208.79322911033628,33.635397960887495,8.25822047999821,4.372486827086661,2.552209685134503,15.847478304761808,20.690555943659945,13.741400808208224,56.79060859927927,1.2796099848357998,1.304031573388102,0.6201981412503271,0.1887506432742235,47.281708136754496,7.519745215714026,0.1051143428991538,0.1871651617646489,0.0179206480068383,0.0483013879389457,0.068127510461981,8.165828845444766,12.892169536566897,0.3770265740893831,7.807660092936954,0.0997736594057022,124.28813956678468,4.701157809212312,2.0788026217394724,0.259088278653344,22.91146559911228,0.0339715190820976,1.3610869166531574,56.30877135703673,Measure_serving,206.5491911111375
Grilled Halloumi Salad,e68697,165.26101370903916,12.8897084624244,10.588494897841692,3.879789762334981,4.647232617872829,19.59644360097889,2.9444503507236948,0.2401966009677777,233.54940095229983,5.604234033055179,1.7848652949543202,1.4271327448935744,0.0001653945666945,71.73316979242465,10.343740957710894,0.0977038719382002,1.071177818705096,0.3522524305238728,0.0974141311113704,0.2367905353491361,33.84168235275139,124.4437070073157,0.9647168724823024,25.97096130094996,1.003940696667158,215.5344836135233,33.19048141092275,0.3827233605484125,1.0479354743343914,123.73365526447326,0.1755586161998993,41.37792300801622,69.0819086635715,Measure_serving,234.4569266129032
Chocolate Peppermint Cupcakes,e47244,364.00326325043,47.74570543193448,19.19040094182619,8.805204496231285,6.874266824311749,53.44450229599864,36.22418405040774,33.130348237656264,210.6879923517086,3.305728590225634,1.6166942174277137,2.184755655410869,0.4892678984475683,106.38527151516335,0.1642914784536314,0.3823720521835591,1.3712225234259836,0.113304860493519,0.0603176738353262,0.1002611802977103,24.87756202260124,50.9602305143244,1.258928339839144,23.686901405915584,0.4890410916624619,112.51394059180676,9.320680944924986,9.142831716004745,0.4901673604438408,93.66747231940828,0.0265437664643798,2.701264885796306,28.331445479959,Measure_serving,101.7871526123536
Tropical Green Smoothie,e55114,64.83249789527129,10.21390796126182,2.5121125762464493,1.5686749844245398,0.5318012385146773,0.8108315045199533,6.691708771607683,0.1898490729226095,27.890942604210924,1.650241790946401,1.638830730798009,0.3589616227753064,0.0011509003032226,34.65215083952394,19.83669548165548,1.6629494947624583,0.5362454788148593,0.0373273030426608,0.0470455247005452,0.0575654246347859,26.311264989020348,39.31953670179528,0.6232984453907809,20.98400858134238,0.2451699825315052,196.9610763374256,26.49983581954912,0.0,0.4709560353165773,38.72923181244416,0.112537531481912,27.135876457119405,82.70220646412214,Measure_serving,387.63328384684496
Easy Bisquick Chicken Pot Pie,e75463,153.57453903892707,15.213640251274226,7.222876249195395,3.1071594868501755,2.436127887956999,32.12463591403577,6.316284814067162,0.0,240.59803720402385,6.979945609022366,0.6984776881644151,1.0746423796045312,0.1863305445630173,77.77576615651674,3.305166886391615,0.2384472749232062,0.3115144890343826,0.1435683833466672,0.0910298973338201,0.1449219163075193,26.72476650962008,62.502696314632495,0.9236540099638008,16.484062774689985,0.5465589261844169,173.83808241974717,11.326129319308793,9.048008757232228,2.4401128672278043,132.73102765780777,0.1603108467937029,1.3693541130939944,69.36426145535138,Measure_serving,203.65438585520724
Garlic And Herb Roasted Turkey,e20459,129.13746463606537,1.4450828404446705,6.247709921838323,1.7882217904454063,2.1075264112895526,55.13336550937114,0.3263925197746363,0.0,194.61797289223443,16.10097345610166,0.2951198168733938,1.6204933893979776,0.0777886233877399,25.407966058317697,1.844566880339796,0.2335857874263268,0.1907381778111065,0.8915139880166132,0.0436880737613805,0.1446489206422357,7.441249210478736,17.874276715546856,0.856189664185677,20.78291023394707,1.3460815893605511,189.2920404986385,7.293811246754852,0.0866620092117483,5.686722893396635,139.07389628067847,0.4667081008275501,6.554556320516928,62.70309279196938,Measure_serving,495.8199145173809
The World's Best Turkey,e04705,127.27928918346603,1.055191192866481,5.595607288353767,1.916060838672308,1.727783989120246,58.62087529449892,0.5850588645668108,0.0,141.96068914156945,16.708242063335735,0.1728627607652128,1.1771839718129882,0.0979879159756058,28.101510371198724,0.9993749330625584,0.2535341319488459,0.1187568443574464,0.9399492439950612,0.0403084984987583,0.1455167802806461,6.433896168923551,11.095279235593456,0.7004098811668227,20.408328349630963,1.3831503510563663,187.5139650037428,6.433896168923551,0.0,5.889213582841812,143.35473088198728,0.4683518641714052,0.6534120893091492,64.69675920824798,Measure_serving,495.54747761691806
Shortbread Crust,e38044,507.954668874508,47.592994832670186,33.351630152423695,18.37002551914448,9.84984046938578,85.55864746723562,12.09455765537714,11.942317374090806,154.47458096157297,5.282286105063524,1.2510013969829994,2.913589354150477,2.1069144375433235,233.12413813249205,0.0,0.5693135880893087,1.2694382143844871,0.0815463558057281,0.3684143576681067,0.2492405039938678,137.74699513404207,20.364804096004075,2.211573350667999,11.010271545828775,0.3923563592024024,60.44234009475816,16.36256352227502,71.3481010237104,2.7498458278285667,67.96679181779587,0.0258396370090337,7.586088196799409,13.042152570479695,Measure_serving,51.4501157407911
